1 14.729837	 0.046076	 0.042499	 0.096711	 0.074393	 0.092446	 0.162290	 0.112238	 0.122003
2 -16.742825	 0.075059	 0.020256	 0.128700	 0.057544	 0.090755	 0.136514	 0.083644	 0.094184
3 -15.246113	 0.103072	 0.033478	 0.048157	 0.027258	 0.057364	 0.148358	 0.100488	 0.096452
4 -18.579290	 0.076985	 0.033282	 0.081582	 0.049352	 0.057613	 0.107878	 0.099602	 0.107816
5 -13.450730	 0.097926	 0.035510	 0.092307	 0.055112	 0.130730	 0.153734	 0.091029	 0.087318
6 16.095636	 0.046556	 0.010083	 0.079769	 0.034180	 0.088084	 0.443693	 0.074458	 0.322041
7 17.759571	 0.038931	 0.021355	 0.085754	 0.034454	 0.100996	 0.238018	 0.106415	 0.173593
8 17.045315	 0.061791	 0.029965	 0.092795	 0.041829	 0.067258	 0.160757	 0.117383	 0.105442
9 13.136517	 0.142213	 0.015824	 0.069595	 0.041266	 0.076093	 0.118722	 0.107045	 0.103994
10 -17.454958	 0.013767	 0.029205	 0.061496	 0.059599	 0.078122	 0.158259	 0.064783	 0.109872
11 17.635464	 0.066931	 0.016823	 0.061381	 0.022285	 0.091271	 0.288138	 0.095481	 0.205536
12 -18.787745	 0.034318	 0.023143	 0.101563	 0.037391	 0.102564	 0.278125	 0.103540	 0.184265
13 -15.219208	 0.087535	 0.020548	 0.069290	 0.035949	 0.061260	 0.190967	 0.124703	 0.126811
14 -17.887835	 0.073625	 0.032077	 0.055323	 0.036137	 0.069454	 0.228300	 0.069672	 0.136224
15 -17.944221	 0.067491	 0.035712	 0.064660	 0.053126	 0.085583	 0.229361	 0.086389	 0.144613
16 19.151398	 0.024507	 0.012844	 0.053352	 0.027830	 0.037989	 0.435154	 0.060451	 0.316569
17 17.446308	 0.051466	 0.034572	 0.067924	 0.040078	 0.080594	 0.153608	 0.076814	 0.090178
18 -15.828053	 0.090612	 0.021401	 0.100590	 0.041041	 0.120714	 0.205613	 0.128321	 0.087890
19 -18.494217	 0.018334	 0.025116	 0.037353	 0.048148	 0.066920	 0.191376	 0.074507	 0.097070
20 -19.245295	 0.051211	 0.021224	 0.064771	 0.037972	 0.117828	 0.161874	 0.110660	 0.115548
21 18.306646	 0.068354	 0.015139	 0.074129	 0.035057	 0.079871	 0.362597	 0.079715	 0.221003
22 -16.045954	 0.051347	 0.029819	 0.068709	 0.057546	 0.145777	 0.194742	 0.113810	 0.126645
23 -18.928637	 0.050309	 0.022331	 0.088433	 0.060887	 0.131761	 0.274573	 0.100030	 0.170008
24 -16.300203	 0.079120	 0.023439	 0.057104	 0.054563	 0.073113	 0.203927	 0.103573	 0.125494
25 17.262772	 0.043050	 0.024832	 0.032660	 0.027262	 0.055695	 0.410129	 0.049248	 0.285160
26 -15.998261	 0.032565	 0.018874	 0.050742	 0.054907	 0.082977	 0.132041	 0.090805	 0.096649
27 19.298744	 0.085639	 0.011821	 0.046278	 0.047645	 0.079175	 0.206333	 0.111274	 0.096160
28 19.671072	 0.081860	 0.032899	 0.038891	 0.055150	 0.071835	 0.165285	 0.137497	 0.089957
29 -16.837723	 0.058053	 0.024302	 0.073528	 0.030223	 0.088554	 0.141025	 0.056860	 0.128068
30 18.878904	 0.017424	 0.025663	 0.082221	 0.038868	 0.059870	 0.097273	 0.108510	 0.086214
31 19.335257	 0.083886	 0.020459	 0.062832	 0.055490	 0.080373	 0.281929	 0.096762	 0.192411
32 -18.215462	 0.032217	 0.015358	 0.074710	 0.043676	 0.128099	 0.129709	 0.081993	 0.092993
33 18.199348	 0.062546	 0.018591	 0.034080	 0.040918	 0.113710	 0.194344	 0.094027	 0.117393
34 19.611483	 0.083174	 0.016979	 0.068303	 0.034678	 0.081402	 0.143715	 0.098137	 0.127394
35 -19.289532	 0.121283	 0.031371	 0.067436	 0.025530	 0.099003	 0.186273	 0.129382	 0.118321
36 -18.409494	 0.131361	 0.015886	 0.066537	 0.055462	 0.093006	 0.289644	 0.100529	 0.160464
37 -19.325592	 0.088172	 0.026679	 0.053008	 0.035746	 0.062001	 0.229101	 0.093799	 0.107167
38 17.262157	 0.060663	 0.022165	 0.053039	 0.053485	 0.117257	 0.159230	 0.095006	 0.114383
39 19.328724	 0.028067	 0.026832	 0.077369	 0.057823	 0.082403	 0.234040	 0.091679	 0.161767
40 -16.799213	 0.094640	 0.007749	 0.063044	 0.047303	 0.116480	 0.248818	 0.119020	 0.149679
41 -19.560650	 0.074712	 0.021337	 0.047880	 0.041183	 0.098163	 0.258019	 0.106367	 0.175015
42 -15.629715	 0.061560	 0.033723	 0.078882	 0.054061	 0.066877	 0.128498	 0.104305	 0.097893
43 -17.014940	 0.035243	 0.012254	 0.086714	 0.046956	 0.082718	 0.130249	 0.120206	 0.062476
44 -15.317470	 0.123755	 0.023207	 0.060325	 0.033979	 0.102779	 0.155558	 0.131349	 0.103024
45 -19.008724	 0.055860	 0.033205	 0.056338	 0.033644	 0.093962	 0.146409	 0.127482	 0.098886
46 19.522955	 0.040133	 0.012776	 0.042082	 0.036962	 0.071678	 0.254588	 0.084050	 0.160255
47 18.791801	 0.082017	 0.017088	 0.049356	 0.018161	 0.104795	 0.433241	 0.097048	 0.298895
48 -14.182264	 0.108959	 0.017805	 0.076999	 0.031409	 0.076581	 0.155282	 0.115074	 0.111565
49 -18.113184	 0.026554	 0.017202	 0.052298	 0.041541	 0.117818	 0.220825	 0.100804	 0.143053
50 -18.093138	 0.046915	 0.019137	 0.079361	 0.045954	 0.073068	 0.330049	 0.120124	 0.216712
51 -19.225279	 0.111511	 0.034625	 0.057739	 0.029345	 0.078859	 0.232333	 0.128651	 0.143960
52 19.665350	 0.033636	 0.025913	 0.046206	 0.031682	 0.053166	 0.424902	 0.076513	 0.284864
53 18.854315	 0.027965	 0.015293	 0.063363	 0.037017	 0.078275	 0.422133	 0.085182	 0.298113
54 18.510700	 0.035612	 0.017369	 0.074709	 0.025178	 0.090505	 0.249029	 0.100666	 0.166695
55 -18.099972	 0.064894	 0.023188	 0.079276	 0.046846	 0.098454	 0.247773	 0.076662	 0.138764
56 18.307335	 0.053200	 0.016864	 0.061003	 0.024308	 0.081898	 0.345003	 0.104357	 0.216611
57 18.931276	 0.108482	 0.023578	 0.091536	 0.073010	 0.073783	 0.193465	 0.092893	 0.104847
58 -16.818205	 0.128182	 0.011971	 0.062838	 0.049601	 0.078281	 0.159691	 0.100814	 0.103212
59 18.927780	 0.119120	 0.009352	 0.070272	 0.037672	 0.078520	 0.343391	 0.116644	 0.199511
60 16.200365	 0.106685	 0.020414	 0.045605	 0.061890	 0.091031	 0.266172	 0.144442	 0.202620
61 -18.505045	 0.075379	 0.019611	 0.038577	 0.042106	 0.086049	 0.167044	 0.139113	 0.082068
62 -18.970556	 0.017534	 0.015796	 0.057476	 0.043958	 0.047336	 0.361202	 0.070992	 0.261689
63 19.526915	 0.030271	 0.022021	 0.040816	 0.038492	 0.092115	 0.178750	 0.139099	 0.119287
64 -18.912491	 0.034606	 0.027367	 0.077507	 0.036382	 0.075792	 0.200782	 0.090983	 0.141173
65 -19.219858	 0.053224	 0.033659	 0.079248	 0.038477	 0.075901	 0.328834	 0.113836	 0.222481
66 19.248062	 0.063428	 0.024789	 0.098112	 0.034420	 0.137449	 0.256806	 0.106873	 0.182299
67 18.482708	 0.067954	 0.017116	 0.053155	 0.057499	 0.113380	 0.285390	 0.076728	 0.162774
68 -15.975088	 0.104865	 0.026946	 0.042775	 0.061734	 0.125725	 0.184642	 0.110360	 0.121676
69 -17.601286	 0.043463	 0.015430	 0.098705	 0.023069	 0.079969	 0.166381	 0.067040	 0.119779
70 -18.264036	 0.083351	 0.032763	 0.092348	 0.042655	 0.061005	 0.131345	 0.107754	 0.116217
71 -18.103712	 0.072453	 0.023784	 0.074453	 0.051993	 0.100631	 0.137564	 0.136051	 0.109585
72 -16.332701	 0.090287	 0.017383	 0.056254	 0.032536	 0.068981	 0.125937	 0.118082	 0.126353
73 -16.459301	 0.065614	 0.017480	 0.046402	 0.046639	 0.089346	 0.208510	 0.088209	 0.107404
74 -19.304691	 0.071570	 0.017739	 0.042197	 0.042517	 0.079631	 0.205169	 0.097520	 0.122368
75 -17.494432	 0.031618	 0.037381	 0.059828	 0.044869	 0.073353	 0.240401	 0.092739	 0.169086
76 -18.125256	 0.096684	 0.032368	 0.092959	 0.052259	 0.083411	 0.078558	 0.141465	 0.079470
77 -15.386853	 0.091213	 0.025246	 0.039701	 0.024920	 0.068567	 0.160155	 0.141280	 0.116785
78 -16.342987	 0.144121	 0.018316	 0.082067	 0.049815	 0.090245	 0.191784	 0.102008	 0.157501
79 -19.099680	 0.044534	 0.022054	 0.044156	 0.036963	 0.094539	 0.202346	 0.080373	 0.095498
80 -16.505978	 0.020605	 0.019876	 0.060153	 0.042625	 0.118780	 0.179464	 0.091540	 0.119557
81 18.976183	 0.052451	 0.012958	 0.042609	 0.021731	 0.069035	 0.387471	 0.086474	 0.263423
82 18.872959	 0.054452	 0.014716	 0.054651	 0.060376	 0.090989	 0.384240	 0.092505	 0.233114
83 -18.911543	 0.050788	 0.016052	 0.064280	 0.039786	 0.067693	 0.171785	 0.101220	 0.138776
84 18.283371	 0.035279	 0.020177	 0.053623	 0.045162	 0.057348	 0.131194	 0.084545	 0.110091
85 19.651655	 0.047443	 0.015067	 0.075188	 0.044094	 0.078031	 0.359093	 0.096380	 0.201890
86 -16.862978	 0.034868	 0.013405	 0.060436	 0.024455	 0.068244	 0.164572	 0.092757	 0.111452
87 -19.312593	 0.020164	 0.027828	 0.067679	 0.046575	 0.061967	 0.196353	 0.116338	 0.158971
88 18.608131	 0.057838	 0.018967	 0.038683	 0.061711	 0.061012	 0.388839	 0.066247	 0.231951
89 -16.863474	 0.111252	 0.022399	 0.077811	 0.033209	 0.075414	 0.211518	 0.075941	 0.139150
90 -18.691088	 0.042265	 0.028095	 0.049397	 0.047143	 0.090420	 0.253345	 0.124023	 0.179292
91 -18.952888	 0.033878	 0.019927	 0.058016	 0.067688	 0.095093	 0.255795	 0.110010	 0.142816
92 -19.494642	 0.033519	 0.014163	 0.033062	 0.025749	 0.047818	 0.389274	 0.069721	 0.280589
93 19.226196	 0.037798	 0.026410	 0.069240	 0.066886	 0.062701	 0.256922	 0.089551	 0.126071
94 -19.727674	 0.114740	 0.016263	 0.036139	 0.041942	 0.093566	 0.281924	 0.121869	 0.157470
95 16.207954	 0.091541	 0.033435	 0.085426	 0.058924	 0.073398	 0.183266	 0.111238	 0.128423
96 -19.071581	 0.059544	 0.017305	 0.044568	 0.043030	 0.102524	 0.165677	 0.081901	 0.165375
97 17.872679	 0.062393	 0.019265	 0.059802	 0.013636	 0.068194	 0.444068	 0.082667	 0.322716
98 -17.657358	 0.051814	 0.024714	 0.071217	 0.025921	 0.145271	 0.144200	 0.124837	 0.131124
99 -17.890816	 0.060639	 0.039888	 0.040694	 0.084218	 0.067423	 0.139917	 0.089544	 0.109672
100 -14.158647	 0.046541	 0.021342	 0.101458	 0.059155	 0.086218	 0.217696	 0.076668	 0.099524
101 16.101894	 0.068333	 0.016713	 0.041325	 0.038716	 0.056540	 0.408921	 0.100236	 0.288954
102 -16.695129	 0.081261	 0.050384	 0.036787	 0.049565	 0.136644	 0.141502	 0.164810	 0.104725
103 -16.249838	 0.020765	 0.020347	 0.041877	 0.036615	 0.094532	 0.108385	 0.104486	 0.102786
104 -18.889725	 0.059645	 0.012359	 0.052732	 0.053016	 0.072232	 0.263575	 0.097198	 0.170066
105 18.151037	 0.121666	 0.023023	 0.081925	 0.042398	 0.092067	 0.163286	 0.150085	 0.102543
106 -15.989155	 0.116440	 0.035805	 0.071224	 0.058032	 0.126782	 0.237659	 0.122641	 0.101736
107 19.115250	 0.098590	 0.019098	 0.062280	 0.047108	 0.096932	 0.301217	 0.107023	 0.184224
108 -19.370951	 0.099340	 0.019008	 0.060162	 0.040037	 0.080939	 0.153138	 0.090816	 0.097690
109 -19.010941	 0.042499	 0.025269	 0.048343	 0.052955	 0.085392	 0.138926	 0.104995	 0.102112
110 18.024734	 0.032535	 0.027153	 0.064141	 0.037449	 0.117412	 0.225136	 0.113725	 0.116510
111 -15.063684	 0.105617	 0.036120	 0.058704	 0.036056	 0.115916	 0.175865	 0.105739	 0.117284
112 13.504850	 0.068098	 0.024823	 0.070916	 0.073266	 0.115614	 0.183679	 0.129674	 0.119215
113 19.060110	 0.039003	 0.018337	 0.056192	 0.037162	 0.072970	 0.429788	 0.081642	 0.299568
114 18.986303	 0.039443	 0.023241	 0.064180	 0.027648	 0.064802	 0.441715	 0.074967	 0.324141
115 -16.657738	 0.032856	 0.016299	 0.063766	 0.051149	 0.090045	 0.186543	 0.086874	 0.110286
116 19.747137	 0.021840	 0.022175	 0.062178	 0.039101	 0.064377	 0.189274	 0.100165	 0.149436
117 18.421406	 0.034741	 0.017259	 0.053398	 0.048649	 0.066406	 0.168297	 0.138022	 0.098232
118 -18.414957	 0.052038	 0.038570	 0.060905	 0.042461	 0.094144	 0.297654	 0.105825	 0.184686
119 19.410662	 0.070363	 0.020853	 0.057661	 0.047765	 0.082672	 0.226664	 0.091003	 0.109156
120 -18.659676	 0.015992	 0.035032	 0.075839	 0.051613	 0.086947	 0.253815	 0.101883	 0.162974
121 -17.638571	 0.040318	 0.021164	 0.059722	 0.061319	 0.093323	 0.153321	 0.129112	 0.127117
122 -14.909155	 0.053866	 0.047082	 0.065840	 0.049359	 0.057491	 0.131668	 0.098599	 0.094286
123 17.857672	 0.034713	 0.012714	 0.037654	 0.023958	 0.048443	 0.444246	 0.036388	 0.329579
124 -19.161203	 0.086924	 0.020396	 0.055396	 0.036861	 0.079286	 0.220779	 0.106881	 0.143474
125 -18.017420	 0.040246	 0.038966	 0.033094	 0.044469	 0.081561	 0.197790	 0.103837	 0.123733
126 19.383869	 0.049461	 0.027447	 0.064883	 0.032671	 0.079944	 0.430732	 0.105350	 0.293805
127 19.211210	 0.097154	 0.022055	 0.104561	 0.040021	 0.169291	 0.433640	 0.122641	 0.321874
128 -13.759409	 0.150148	 0.025031	 0.043444	 0.056202	 0.097025	 0.155304	 0.090488	 0.107060
129 18.745602	 0.069368	 0.021823	 0.046825	 0.034946	 0.083365	 0.424984	 0.070090	 0.280119
130 -19.091574	 0.043029	 0.031300	 0.058154	 0.056985	 0.071905	 0.292586	 0.111793	 0.182115
131 17.681479	 0.145013	 0.018658	 0.051626	 0.034948	 0.098414	 0.345519	 0.095762	 0.234945
132 19.048828	 0.053759	 0.037569	 0.058087	 0.036751	 0.097973	 0.210937	 0.130649	 0.108400
133 -18.129541	 0.023211	 0.019136	 0.059682	 0.028799	 0.111826	 0.200055	 0.109208	 0.126498
134 19.003231	 0.062490	 0.015805	 0.058651	 0.054009	 0.087487	 0.302389	 0.072185	 0.179406
135 18.474380	 0.085097	 0.017038	 0.045924	 0.030795	 0.063579	 0.442811	 0.078425	 0.332938
136 -19.654797	 0.101837	 0.014821	 0.024903	 0.035828	 0.066497	 0.232011	 0.083388	 0.157684
137 -14.288458	 0.123789	 0.023073	 0.037982	 0.039794	 0.116087	 0.167815	 0.091466	 0.123373
138 -15.183790	 0.082896	 0.019612	 0.065714	 0.057690	 0.084478	 0.189252	 0.131503	 0.153984
139 16.293381	 0.058278	 0.024449	 0.072013	 0.032583	 0.100824	 0.226852	 0.102725	 0.123322
140 16.298576	 0.070070	 0.013435	 0.038264	 0.030900	 0.066303	 0.331343	 0.099609	 0.226351
141 -19.272203	 0.069890	 0.009187	 0.042784	 0.057078	 0.084351	 0.393137	 0.078528	 0.295077
142 -19.319071	 0.079838	 0.026317	 0.060442	 0.040445	 0.114599	 0.240381	 0.146084	 0.162712
143 -17.979237	 0.090722	 0.020731	 0.060903	 0.036673	 0.098254	 0.169970	 0.075864	 0.114540
144 -19.344143	 0.030054	 0.030457	 0.071198	 0.062103	 0.045870	 0.158591	 0.096719	 0.109181
145 16.375206	 0.103380	 0.019402	 0.058148	 0.064063	 0.079003	 0.218133	 0.123066	 0.133461
146 -19.262215	 0.078725	 0.025406	 0.030339	 0.039117	 0.080251	 0.171225	 0.113746	 0.090753
147 17.985498	 0.022029	 0.015597	 0.089317	 0.036427	 0.052176	 0.305159	 0.047886	 0.211350
148 -16.401073	 0.076513	 0.019030	 0.097488	 0.062819	 0.083996	 0.141586	 0.103962	 0.087704
149 18.148230	 0.020782	 0.011093	 0.075575	 0.020605	 0.070836	 0.319450	 0.086849	 0.220030
150 19.198492	 0.022426	 0.023962	 0.044253	 0.045324	 0.069238	 0.236169	 0.109973	 0.127969
151 -19.488211	 0.061314	 0.012868	 0.054268	 0.055200	 0.084894	 0.295000	 0.084268	 0.196590
